car_name,SKU,page_name,max_qty,current_qty,image_url,price
Hot Wheels Elite 64 1990 BMW 318i Touring,HNJ60,hot-wheels-elite-64-bmw-318i-e21-hnj60,15635,15378,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/zppgdfchprd7zzxjbisp_75df881c-0f09-4e3e-95a3-40c3b146226b_600x600.jpg,20
Hot Wheels RacerVerse Marvel Super Heroes Secret Wars Vehicles,JCF22,hot-wheels-racerverse-marvel-super-heroes-secret-wars-vehicles-jcf22,3734,3706,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/ffthv6qt1k9ihee97vkf_600x600.jpg,20
Hot Wheels Elite 64 Mod Shop '17 Toyota Tacoma,HNJ64,elite-64-mod-shop-17-toyota-tacoma-hnj64,5853,5675,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/clbh17fx3m9pvjduui1i_600x600.jpg,30
Hot Wheels Elite 64 Bugatti Type 59,HNJ62,hot-wheels-elite-64-bugatti-type-59-hnj62,11137,11041,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/omwy7mbncwlt6ujawiww_081e8965-a1c3-48b1-a5f3-881765c3cf77_600x600.jpg,20
Hot Wheels Elite 64 Series '21 Audi RS 7 Sportback,HGW11,elite-64-series-21-audi-rs-7-sportback-hgw11,27934,27847,https://cdn.shopify.com/s/files/1/0568/1132/3597/products/betzvdqrbuubtfhcql1x_ec8302a4-9228-4a68-8e50-4ca2cfc96138_600x600.jpg,20
Hot Wheels Car Culture Premium Car Culture 2024 Toyota Land Cruiser,JBK52,hot-wheels-premium-car-culture-jbk52,544,14,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/ezaciwqtlw3cv4xtthw2_600x600.jpg,6.5
Hot Wheels Premium Fast &amp; Furious 2020 Dodge Charger Hellcat,JBL96,hot-wheels-cars-premium-fast-furious-car-jbl96,1205,932,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/avye2aqcua20ygcvf8ku_600x600.jpg,6.5
Hot Wheels Premium Car Culture Off Road '17 Ford F150 Raptor,JBK70,hot-wheels-premium-car-culture-off-road-jbk70,2902,2768,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/qhdfdztjb3agahrejoge_600x600.jpg,6.5
Hot Wheels Fast &amp; Furious Premium McLaren Senna,JBL92,hot-wheels-premium-fast-furious-vehicle-jbl92,2400,2095,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/ksivd14dokpxhswtfdyv_da136ab6-d487-4d89-a545-eac44a6c6500_600x600.jpg,6.5
Hot Wheels Premium Collector Display Sets,JBM05,hot-wheels-premium-collector-display-sets-jbm05,2226,1976,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/cc07d54fe427635754b2b267cebe4cb251a0278b_600x600.jpg,33
Hot Wheels Boulevard Toyota Land Cruiser FJ43,JBL25,hot-wheels-premium-boulevard-vehicle-jbl25,1646,1356,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/653e7a43930bf8d13fef5178adab7399cf0dc66b_600x600.jpg,6.5
Hot Wheels Premium Car Culture Silhouettes Nissan300ZX IMSA GTS,JBK61,hot-wheels-premium-car-culture-silhouettes-nissan300zx-imsa-gts-jbk61,253,0,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/JBK61_PIP_FE_25_001_4LB_600x600.jpg,6.5
Hot Wheels Boulevard Meyers Manx,JBL22,hot-wheels-boulevard-meyers-manx-jbl22,2546,2440,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/ddae859c87e4e2da17986e808c28d915339da231_751c96ff-400c-4f01-8320-589ddb6cb829_600x600.jpg,6.5
Hot Wheels Premium Fast &amp; Furious 2003 Dodge Viper SRT 10,JBL85,hot-wheels-premium-fast-furious-vehicle-jbl85,2331,2136,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/d6lqv36bqqq3cqnn8af4_600x600.jpg,6.5
Hot Wheels Premium Car Culture 2-Pack - Morris Mini &amp; '67 Austin Mini Pickup,JBK97,hot-wheels-premium-car-culture-2-pack-jbk97,397,358,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/kaetmhfetzc173khwvpb_600x600.jpg,13
Hot Wheels Premium Fast &amp; Furious Nissan 37OZ,JBL91,hot-wheels-premium-fast-furious-jbl91,1961,1799,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/pltwhnvesjq22t47nivc_600x600.jpg,6.5
